Country,Pop. Density (per sq. mi.),GDP ($ per capita),Infant mortality,Birthrate,Deathrate,Class
Afghanistan ,48,700,163.07,46.6,20.34,0
Albania ,124.6,4500,21.52,15.11,5.22,0
Algeria ,13.8,6000,31,17.14,4.61,0
American Samoa ,290.4,8000,9.27,22.46,3.27,1
Andorra ,152.1,19000,4.05,8.71,6.25,0
Angola ,9.7,1900,191.19,45.11,24.2,1
Anguilla ,132.1,8600,21.03,14.17,5.34,0
Antigua & Barbuda ,156,11000,19.46,16.93,5.37,0
Argentina ,14.4,11200,15.18,16.73,7.55,1
Armenia ,99.9,3500,23.28,12.07,8.23,0
Aruba ,372.5,28000,5.89,11.03,6.68,0
Australia ,2.6,29000,4.69,12.14,7.51,1
Austria ,97.7,30000,4.66,8.74,9.76,0
Azerbaijan ,91.9,3400,81.74,20.74,9.75,0
"Bahamas, The ",21.8,16700,25.21,17.57,9.05,0
Bahrain ,1050.5,16900,17.27,17.8,4.14,0
Bangladesh ,1023.4,1900,62.6,29.8,8.27,0
Barbados ,649.5,15700,12.5,12.71,8.67,0
Belarus ,49.6,6100,13.37,11.16,14.02,0
Belgium ,340,29100,4.68,10.38,10.27,0
Belize ,12.5,4900,25.69,28.84,5.72,0
Benin ,69.8,1100,85,38.85,12.22,0
Bermuda ,1241,36000,8.53,11.4,7.74,0
Bhutan ,48.5,1300,100.44,33.65,12.7,0
Bolivia ,8.2,2400,53.11,23.3,7.53,1
Bosnia & Herzegovina ,88,6100,21.05,8.77,8.27,0
Botswana ,2.7,9000,54.58,23.08,29.5,1
Brazil ,22.1,7600,29.61,16.56,6.17,1
British Virgin Is. ,151,16000,18.05,14.89,4.42,0
Brunei ,65.8,18600,12.61,18.79,3.45,0
Bulgaria ,66.6,7600,20.55,9.65,14.27,0
Burkina Faso ,50.7,1100,97.57,45.62,15.6,0
Burma ,69.8,1800,67.24,17.91,9.83,0
Burundi ,290.7,600,69.29,42.22,13.46,1
Cambodia ,76.7,1900,71.48,26.9,9.06,0
Cameroon ,36.5,1800,68.26,33.89,13.47,0
Canada ,3.3,29800,4.75,10.78,7.8,0
Cape Verde ,104.4,1400,47.77,24.87,6.55,0
Cayman Islands ,173.4,35000,8.19,12.74,4.89,0
Central African Rep. ,6.9,1100,91,33.91,18.65,0
Chad ,7.7,1200,93.82,45.73,16.38,0
Chile ,21.3,9900,8.8,15.23,5.81,1
China ,136.9,5000,24.18,13.25,6.97,0
Colombia ,38.3,6300,20.97,20.48,5.58,0
Comoros ,318.4,700,74.93,36.93,8.2,1
"Congo, Dem. Rep. ",26.7,700,94.69,43.69,13.27,1
"Congo, Repub. of the ",10.8,700,93.86,42.57,12.93,1
Cook Islands ,89.1,5000,23.6,21,9.3,1
Costa Rica ,79.8,9100,9.95,18.32,4.36,0
Cote d'Ivoire ,54.8,1400,90.83,35.11,14.84,0
Croatia ,79.5,10600,6.84,9.61,11.48,0
Cuba ,102.7,2900,6.33,11.89,7.22,0
Cyprus ,84.8,19200,7.18,12.56,7.68,0
Czech Republic ,129.8,15700,3.93,9.02,10.59,0
Denmark ,126.5,31100,4.56,11.13,10.36,0
Djibouti ,21.2,1300,104.13,39.53,19.31,0
Dominica ,91.4,5400,14.15,15.27,6.73,0
Dominican Republic ,188.5,6000,32.38,23.22,5.73,0
East Timor ,70.8,500,47.41,26.99,6.24,1
Ecuador ,47.8,3300,23.66,22.29,4.23,1
Egypt ,78.8,4000,32.59,22.94,5.23,0
El Salvador ,324.3,4800,25.1,26.61,5.78,0
Equatorial Guinea ,19.3,2700,85.13,35.59,15.06,0
Eritrea ,39.5,700,74.87,34.33,9.6,0
Estonia ,29.3,12300,7.87,10.04,13.25,0
Ethiopia ,66.3,700,95.32,37.98,14.86,0
Faroe Islands ,33.8,22000,6.24,14.05,8.7,1
Fiji ,49.6,5800,12.62,22.55,5.65,1
Finland ,15.5,27400,3.57,10.45,9.86,0
France ,111.3,27600,4.26,11.99,9.14,0
French Guiana ,2.2,8300,12.07,20.46,4.88,1
French Polynesia ,65.9,17500,8.44,16.68,4.69,1
Gabon ,5.3,5500,53.64,36.16,12.25,1
"Gambia, The ",145.3,1700,72.02,39.37,12.25,0
Gaza Strip ,3968.8,600,22.93,39.45,3.8,0
Georgia ,66.9,2500,18.59,10.41,9.23,0
Germany ,230.9,27600,4.16,8.25,10.62,0
Ghana ,93.6,2200,51.43,30.52,9.72,0
Gibraltar ,3989.7,17500,5.13,10.74,9.31,0
Greece ,81,20000,5.53,9.68,10.24,0
Greenland ,0.1361,20000,15.82,15.93,7.84,1
Grenada ,260.8,5000,14.62,22.08,6.88,0
Guadeloupe ,254.4,8000,8.6,15.05,6.09,0
Guam ,316.1,21000,6.94,18.79,4.48,1
Guatemala ,112.9,4100,35.93,29.88,5.2,0
Guernsey ,838.6,20000,4.71,8.81,10.01,1
Guinea ,39.4,2100,90.37,41.76,15.48,0
Guinea-Bissau ,39.9,800,107.17,37.22,16.53,0
Guyana ,3.6,4000,33.26,18.28,8.28,0
Haiti ,299.4,1600,73.45,36.44,12.17,0
Honduras ,65.4,2600,29.32,28.24,5.28,0
Hong Kong ,6355.7,28800,2.97,7.29,6.29,0
Hungary ,107.3,13900,8.57,9.72,13.11,0
Iceland ,2.9,30900,3.31,13.64,6.72,0
India ,333.2,2900,56.29,22.01,8.18,0
Indonesia ,127.9,3200,35.6,20.34,6.25,1
Iran ,41.7,7000,41.58,17,5.55,0
Iraq ,61.3,1500,50.25,31.98,5.37,0
Ireland ,57.8,29600,5.39,14.45,7.82,0
Isle of Man ,131.9,21000,5.93,11.05,11.19,0
Israel ,305.8,19800,7.03,17.97,6.18,0
Italy ,193,26700,5.94,8.72,10.4,0
Jamaica ,250.9,3900,12.36,20.82,6.52,0
Japan ,337.4,28200,3.26,9.37,9.16,0
Jersey ,785.2,24800,5.24,9.3,9.28,1
Jordan ,64,4300,17.35,21.25,2.65,0
Kazakhstan ,5.6,6300,29.21,16,9.42,0
Kenya ,59.6,1000,61.47,39.72,14.02,0
Kiribati ,130,800,48.52,30.65,8.26,1
"Korea, North ",191.8,1300,24.04,15.54,7.13,0
"Korea, South ",496,17800,7.05,10,5.85,0
Kuwait ,135.7,19000,9.95,21.94,2.41,0
Kyrgyzstan ,26.3,1600,35.64,22.8,7.08,0
Laos ,26.9,1700,85.22,35.49,11.55,0
Latvia ,35.2,10200,9.55,9.24,13.66,0
Lebanon ,372.5,4800,24.52,18.52,6.21,0
Lesotho ,66.6,3000,84.23,24.75,28.71,1
Liberia ,27.3,1000,128.87,44.77,23.1,0
Libya ,3.4,6400,24.6,26.49,3.48,0
Liechtenstein ,212.4,25000,4.7,10.21,7.18,0
Lithuania ,55,11400,6.89,8.75,10.98,0
Luxembourg ,183.5,55100,4.81,11.94,8.41,0
Macau ,16183,19400,4.39,8.48,4.47,1
Macedonia ,80.9,6700,10.09,12.02,8.77,0
Madagascar ,31.7,800,76.83,41.41,11.11,1
Malawi ,109.8,600,103.32,43.13,19.33,1
Malaysia ,74,9000,17.7,22.86,5.05,0
Maldives ,1196.7,3900,56.52,34.81,7.06,0
Mali ,9.5,900,116.79,49.82,16.89,0
Malta ,1266.5,17700,3.89,10.22,8.1,0
Marshall Islands ,5.1,1600,29.45,33.05,4.78,0
Martinique ,396.5,14400,7.09,13.74,6.48,0
Mauritania ,3.1,1800,70.89,40.99,12.16,0
Mauritius ,608.3,11400,15.03,15.43,6.86,1
Mayotte ,538.1,2600,62.4,40.95,7.7,1
Mexico ,54.5,9000,20.91,20.69,4.74,0
"Micronesia, Fed. St. ",153.9,2000,30.21,24.68,4.75,0
Moldova ,132,1800,40.42,15.7,12.64,0
Monaco ,16271.5,27000,5.43,9.19,12.91,0
Mongolia ,1.8,1800,53.79,21.59,6.95,0
Montserrat ,92.5,3400,7.35,17.59,7.1,0
Morocco ,74.4,4000,41.62,21.98,5.58,0
Mozambique ,24.6,1200,130.79,35.18,21.35,1
Namibia ,2.5,7200,48.98,24.32,18.86,1
Nauru ,632.7,5000,9.95,24.76,6.7,1
Nepal ,192.2,1400,66.98,30.98,9.31,0
Netherlands ,397.1,28600,5.04,10.9,8.68,0
Netherlands Antilles ,231,11400,10.03,14.78,6.45,0
New Caledonia ,11.5,15000,7.72,18.11,5.69,1
New Zealand ,15.2,21600,5.85,13.76,7.53,1
Nicaragua ,43,2300,29.11,24.51,4.45,0
Niger ,9.9,800,121.69,50.73,20.91,0
Nigeria ,142.7,900,98.8,40.43,16.94,0
N. Mariana Islands ,172.9,12500,7.11,19.43,2.29,0
Norway ,14.2,37800,3.7,11.46,9.4,0
Oman ,14.6,13100,19.51,36.24,3.81,0
Pakistan ,206.2,2100,72.44,29.74,8.23,0
Palau ,44.9,9000,14.84,18.03,6.8,0
Panama ,40.8,6300,20.47,21.74,5.36,0
Papua New Guinea ,12.3,2200,51.45,29.36,7.25,1
Paraguay ,16,4700,25.63,29.1,4.49,1
Peru ,22,5100,31.94,20.48,6.23,0
Philippines ,298.2,4600,23.51,24.89,5.41,1
Poland ,123.3,11100,8.51,9.85,9.89,0
Portugal ,114.8,18000,5.05,10.72,10.5,0
Puerto Rico ,284.8,16800,8.24,12.77,7.65,0
Qatar ,77.4,21500,18.61,15.56,4.72,0
Reunion ,312.9,5800,7.78,18.9,5.49,1
Romania ,93.9,7000,26.43,10.7,11.77,0
Russia ,8.4,8900,15.39,9.95,14.65,0
Rwanda ,328.4,1300,91.23,40.37,16.09,1
Saint Helena ,18.2,2500,19,12.13,6.53,1
Saint Kitts & Nevis ,149.9,8800,14.49,18.02,8.33,0
Saint Lucia ,273.5,5400,13.53,19.68,5.08,0
St Pierre & Miquelon ,29,6900,7.54,13.52,6.83,0
Saint Vincent and the Grenadines ,303,2900,14.78,16.18,5.98,0
Samoa ,60.1,5600,27.71,16.43,6.62,1
San Marino ,479.5,34600,5.73,10.02,8.17,0
Sao Tome & Principe ,193.2,1200,43.11,40.25,6.47,0
Saudi Arabia ,13.8,11800,13.24,29.34,2.58,0
Senegal ,61.1,1600,55.51,32.78,9.42,0
Serbia ,106.3,2200,12.89,23.4,7.28,0
Seychelles ,179.2,7800,15.53,16.03,6.29,1
Sierra Leone ,83.7,500,143.64,45.76,23.03,0
Singapore ,6482.2,23700,2.29,9.34,4.28,0
Slovakia ,111.4,13300,7.41,10.65,9.45,0
Slovenia ,99.2,19000,4.45,8.98,10.31,0
Solomon Islands ,19.4,1700,21.29,30.01,3.92,1
Somalia ,13.9,500,116.7,45.13,16.63,0
South Africa ,36.2,10700,61.81,18.2,22,1
Spain ,80,22000,4.42,10.06,9.72,0
Sri Lanka ,308.2,3700,14.35,15.51,6.52,0
Sudan ,16.5,1900,62.5,34.53,8.97,0
Suriname ,2.7,4000,23.57,18.02,7.27,0
Swaziland ,65.5,4900,69.27,27.41,29.74,1
Sweden ,20,26800,2.77,10.27,10.31,0
Switzerland ,182.2,32700,4.39,9.71,8.49,0
Syria ,102,3300,29.53,27.76,4.81,0
Taiwan ,640.3,23400,6.4,12.56,6.48,0
Tajikistan ,51.2,1000,110.76,32.65,8.25,0
Tanzania ,39.6,600,98.54,37.71,16.39,1
Thailand ,125.7,7400,20.48,13.87,7.04,0
Togo ,97.7,1500,66.61,37.01,9.83,0
Tonga ,153.3,2200,12.62,25.37,5.28,1
Trinidad & Tobago ,207.9,9500,24.31,12.9,10.57,0
Tunisia ,62.2,6900,24.77,15.52,5.13,0
Turkey ,90.2,6700,41.04,16.62,5.97,0
Turkmenistan ,10.3,5800,73.08,27.61,8.6,0
Turks & Caicos Is ,49.2,9600,15.67,21.84,4.21,0
Tuvalu ,454.2,1100,20.03,22.18,7.11,1
Uganda ,119.5,1400,67.83,47.35,12.24,0
Ukraine ,77.4,5400,20.34,8.82,14.39,0
United Arab Emirates ,31.4,23200,14.51,18.96,4.4,0
United Kingdom ,247.6,27700,5.16,10.71,10.13,0
United States ,31,37800,6.5,14.14,8.26,0
Uruguay ,19.5,12800,11.95,13.91,9.05,1
Uzbekistan ,61,1700,71.1,26.36,7.84,0
Vanuatu ,17.1,2900,55.16,22.72,7.82,1
Venezuela ,28.2,4800,22.2,18.71,4.92,0
Vietnam ,256.1,2500,25.95,16.86,6.22,1
Virgin Islands ,56.9,17200,8.03,13.96,6.43,0
Wallis and Futuna ,58.5,3700,18.9,12.3,3.4,1
West Bank ,419.9,800,19.62,31.67,3.92,1
Western Sahara ,1,320,1.08,9.2,1.2,0
Yemen ,40.6,800,61.5,42.89,8.3,0
Zambia ,15.3,800,88.29,41,19.93,1
Zimbabwe ,31.3,1900,67.69,28.01,21.84,1
